date,equity_backtest,equity_paper,diff,ratio
2024-04-22,88094.48531353674,93087.70414489166,4993.218831354912,1.0566802656668413
2024-04-23,88094.48531353674,93087.70414489166,4993.218831354912,1.0566802656668413
2024-04-24,88094.48531353674,93087.70414489166,4993.218831354912,1.0566802656668413
2024-04-25,88094.48531353674,93087.70414489166,4993.218831354912,1.0566802656668413
2024-04-26,88094.48531353674,93087.70414489166,4993.218831354912,1.0566802656668413
2024-04-27,88094.48531353674,93087.70414489166,4993.218831354912,1.0566802656668413
2024-04-28,88094.48531353674,93087.70414489166,4993.218831354912,1.0566802656668413
2024-04-29,88094.48531353674,93087.70414489166,4993.218831354912,1.0566802656668413
2024-04-30,88094.48531353674,93087.70414489166,4993.218831354912,1.0566802656668413
2024-05-01,88094.48531353674,93087.70414489166,4993.218831354912,1.0566802656668413
2024-05-02,88094.48531353674,93087.70414489166,4993.218831354912,1.0566802656668413
2024-05-03,88094.48531353674,93087.70414489164,4993.218831354898,1.056680265666841
2024-05-04,88237.68439562054,93113.7348045012,4876.050408880663,1.0552604076396488
2024-05-05,88453.451154611,93788.15674273566,5334.705588124663,1.0603108812430613
2024-05-06,84398.19124300696,89488.60550487706,5090.414261870101,1.0603142577690239
2024-05-07,81520.47557319597,87839.79088032912,6319.315307133147,1.0775181359370154
2024-05-08,78598.5719978388,84687.6149286504,6089.0429308116,1.0774701470527865
2024-05-09,80822.48508149857,87059.85288636108,6237.367804862515,1.0771736701559347
2024-05-10,76740.23366765733,82662.98689588526,5922.753228227928,1.0771792441221626
2024-05-11,76740.23366765733,82662.98689588526,5922.753228227928,1.0771792441221626
2024-05-12,76740.23366765733,82662.98689588526,5922.753228227928,1.0771792441221626
2024-05-13,76740.23366765733,82662.98689588526,5922.753228227928,1.0771792441221626
2024-05-14,76740.23366765733,82662.98689588526,5922.753228227928,1.0771792441221626
2024-05-15,76740.23366765733,82662.98689588526,5922.753228227928,1.0771792441221626
2024-05-16,76740.23366765733,82662.98689588526,5922.753228227928,1.0771792441221626
2024-05-17,81589.16479041136,87833.92317787779,6244.758387466427,1.0765390650034001
2024-05-18,82301.81802394423,88863.63369011371,6561.815666169481,1.0797286842954117
2024-05-19,81712.24293543164,88855.51432874099,7143.271393309347,1.0874198423234314
2024-05-20,87447.09176336367,95060.91576550734,7613.824002143665,1.0870677783401541
