date,us_total,us_pnl_daily,us_pnl_cum,us_benchmark
2022-03-05,"$100,000.00",$0.00,$0.00,"$90,467.02"
2022-03-06,"$100,000.00",$0.00,$0.00,"$90,467.02"
2022-03-07,"$100,000.00",$0.00,$0.00,"$87,800.14"
2022-03-08,"$100,000.00",$0.00,$0.00,"$87,134.46"
2022-03-09,"$100,000.00",$0.00,$0.00,"$89,470.61"
2022-03-10,"$100,000.00",$0.00,$0.00,"$89,066.60"
2022-03-11,"$100,000.00",$0.00,$0.00,"$87,934.11"
2022-03-12,"$100,000.00",$0.00,$0.00,"$87,934.11"
2022-03-13,"$100,000.00",$0.00,$0.00,"$87,934.11"
2022-03-14,"$100,000.00",$0.00,$0.00,"$87,291.46"
2022-03-15,"$100,000.00",$0.00,$0.00,"$89,211.03"
2022-03-16,"$100,000.00",$0.00,$0.00,"$91,189.22"
2022-03-17,"$100,000.00",$0.00,$0.00,"$92,330.10"
2022-03-18,"$100,000.00",$0.00,$0.00,"$93,341.35"
2022-03-19,"$100,000.00",$0.00,$0.00,"$93,341.35"
2022-03-20,"$100,000.00",$0.00,$0.00,"$93,341.35"
2022-03-21,"$100,000.00",$0.00,$0.00,"$93,314.07"
2022-03-22,"$100,000.00",$0.00,$0.00,"$94,405.97"
2022-03-23,"$100,000.00",$0.00,$0.00,"$93,190.17"
2022-03-24,"$100,000.00",$0.00,$0.00,"$94,594.94"
2022-03-25,"$100,000.00",$0.00,$0.00,"$95,056.91"
2022-03-26,"$100,000.00",$0.00,$0.00,"$95,056.91"
2022-03-27,"$100,000.00",$0.00,$0.00,"$95,056.91"
2022-03-28,"$100,000.00",$0.00,$0.00,"$95,733.05"
2022-03-29,"$100,000.00",$0.00,$0.00,"$96,917.35"
2022-03-30,"$100,000.00",$0.00,$0.00,"$96,318.91"
2022-03-31,"$100,000.00",$0.00,$0.00,"$94,836.44"
2022-04-01,"$100,000.00",$0.00,$0.00,"$95,105.21"
2022-04-02,"$100,000.00",$0.00,$0.00,"$95,105.21"
2022-04-03,"$100,000.00",$0.00,$0.00,"$95,105.21"
2022-04-04,"$100,000.00",$0.00,$0.00,"$95,919.95"
2022-04-05,"$100,000.00",$0.00,$0.00,"$94,708.34"
2022-04-06,"$100,000.00",$0.00,$0.00,"$93,761.31"
2022-04-07,"$100,000.00",$0.00,$0.00,"$94,233.77"
2022-04-08,"$100,000.00",$0.00,$0.00,"$93,981.80"
2022-04-09,"$100,000.00",$0.00,$0.00,"$93,981.80"
2022-04-10,"$100,000.00",$0.00,$0.00,"$93,981.80"
2022-04-11,"$100,000.00",$0.00,$0.00,"$92,375.43"
2022-04-12,"$100,000.00",$0.00,$0.00,"$92,033.17"
2022-04-13,"$100,000.00",$0.00,$0.00,"$93,087.28"
2022-04-14,"$100,000.00",$0.00,$0.00,"$91,928.18"
2022-04-15,"$100,000.00",$0.00,$0.00,"$91,928.18"
2022-04-16,"$100,000.00",$0.00,$0.00,"$91,928.18"
2022-04-17,"$100,000.00",$0.00,$0.00,"$91,928.18"
2022-04-18,"$100,000.00",$0.00,$0.00,"$91,965.97"
2022-04-19,"$100,000.00",$0.00,$0.00,"$93,450.54"
2022-04-20,"$100,000.00",$0.00,$0.00,"$93,381.24"
2022-04-21,"$100,000.00",$0.00,$0.00,"$91,984.87"
2022-04-22,"$100,000.00",$0.00,$0.00,"$89,460.87"
2022-04-23,"$100,000.00",$0.00,$0.00,"$89,460.87"
2022-04-24,"$100,000.00",$0.00,$0.00,"$89,460.87"
2022-04-25,"$100,000.00",$0.00,$0.00,"$89,979.54"
2022-04-26,"$100,000.00",$0.00,$0.00,"$87,373.66"
2022-04-27,"$100,000.00",$0.00,$0.00,"$87,619.33"
2022-04-28,"$100,000.00",$0.00,$0.00,"$89,832.55"
2022-04-29,"$100,000.00",$0.00,$0.00,"$86,512.75"
2022-04-30,"$100,000.00",$0.00,$0.00,"$86,512.75"
2022-05-01,"$100,000.00",$0.00,$0.00,"$86,512.75"
2022-05-02,"$100,000.00",$0.00,$0.00,"$87,033.48"
2022-05-03,"$100,000.00",$0.00,$0.00,"$87,432.45"
2022-05-04,"$100,000.00",$0.00,$0.00,"$90,095.02"
2022-05-05,"$100,000.00",$0.00,$0.00,"$86,892.80"
2022-05-06,"$100,000.00",$0.00,$0.00,"$86,374.14"
2022-05-07,"$100,000.00",$0.00,$0.00,"$86,374.14"
2022-05-08,"$100,000.00",$0.00,$0.00,"$86,374.14"
2022-05-09,"$100,000.00",$0.00,$0.00,"$83,608.68"
2022-05-10,"$100,000.00",$0.00,$0.00,"$83,801.87"
2022-05-11,"$100,000.00",$0.00,$0.00,"$82,470.57"
2022-05-12,"$100,000.00",$0.00,$0.00,"$82,384.48"
2022-05-13,"$100,000.00",$0.00,$0.00,"$84,354.12"
2022-05-14,"$100,000.00",$0.00,$0.00,"$84,354.12"
2022-05-15,"$100,000.00",$0.00,$0.00,"$84,354.12"
2022-05-16,"$100,000.00",$0.00,$0.00,"$84,011.85"
2022-05-17,"$100,000.00",$0.00,$0.00,"$85,740.00"
2022-05-18,"$100,000.00",$0.00,$0.00,"$82,283.68"
2022-05-19,"$100,000.00",$0.00,$0.00,"$81,779.73"
2022-05-20,"$100,000.00",$0.00,$0.00,"$81,815.43"
2022-05-21,"$100,000.00",$0.00,$0.00,"$81,815.43"
2022-05-22,"$100,000.00",$0.00,$0.00,"$81,815.43"
2022-05-23,"$100,000.00",$0.00,$0.00,"$83,346.21"
2022-05-24,"$100,000.00",$0.00,$0.00,"$82,709.96"
2022-05-25,"$100,000.00",$0.00,$0.00,"$83,440.68"
2022-05-26,"$100,000.00",$0.00,$0.00,"$85,107.95"
2022-05-27,"$100,000.00",$0.00,$0.00,"$87,197.28"
2022-05-28,"$100,000.00",$0.00,$0.00,"$87,197.28"
2022-05-29,"$100,000.00",$0.00,$0.00,"$87,197.28"
2022-05-30,"$100,000.00",$0.00,$0.00,"$87,197.28"
2022-05-31,"$100,000.00",$0.00,$0.00,"$86,708.02"
2022-06-01,"$100,000.00",$0.00,$0.00,"$86,006.67"
2022-06-02,"$100,000.00",$0.00,$0.00,"$87,644.54"
2022-06-03,"$100,000.00",$0.00,$0.00,"$86,206.16"
2022-06-04,"$100,000.00",$0.00,$0.00,"$86,206.16"
2022-06-05,"$100,000.00",$0.00,$0.00,"$86,206.16"
2022-06-06,"$100,000.00",$0.00,$0.00,"$86,468.64"
2022-06-07,"$100,000.00",$0.00,$0.00,"$87,298.07"
2022-06-08,"$100,000.00",$0.00,$0.00,"$86,348.95"
2022-06-09,"$100,000.00",$0.00,$0.00,"$84,295.31"
2022-06-10,"$100,000.00",$0.00,$0.00,"$81,851.12"
2022-06-11,"$100,000.00",$0.00,$0.00,"$81,851.12"
2022-06-12,"$100,000.00",$0.00,$0.00,"$81,851.12"
2022-06-13,"$100,000.00",$0.00,$0.00,"$78,743.39"
2022-06-14,"$100,000.00",$0.00,$0.00,"$78,506.09"
2022-06-15,"$100,000.00",$0.00,$0.00,"$79,625.33"
2022-06-16,"$100,000.00",$0.00,$0.00,"$76,990.04"
2022-06-17,"$100,000.00",$0.00,$0.00,"$77,156.00"
2022-06-18,"$100,000.00",$0.00,$0.00,"$77,156.00"
2022-06-19,"$100,000.00",$0.00,$0.00,"$77,156.00"
2022-06-20,"$100,000.00",$0.00,$0.00,"$77,156.00"
2022-06-21,"$100,000.00",$0.00,$0.00,"$79,098.29"
2022-06-22,"$100,000.00",$0.00,$0.00,"$78,954.89"
2022-06-23,"$100,000.00",$0.00,$0.00,"$79,728.85"
2022-06-24,"$100,000.00",$0.00,$0.00,"$82,263.75"
2022-06-25,"$100,000.00",$0.00,$0.00,"$82,263.75"
2022-06-26,"$100,000.00",$0.00,$0.00,"$82,263.75"
2022-06-27,"$100,000.00",$0.00,$0.00,"$81,949.53"
2022-06-28,"$100,000.00",$0.00,$0.00,"$80,275.05"
2022-06-29,"$100,000.00",$0.00,$0.00,"$80,209.68"
2022-06-30,"$100,000.00",$0.00,$0.00,"$79,558.05"
2022-07-01,"$100,000.00",$0.00,$0.00,"$80,399.49"
2022-07-02,"$100,000.00",$0.00,$0.00,"$80,399.49"
2022-07-03,"$100,000.00",$0.00,$0.00,"$80,399.49"
2022-07-04,"$100,000.00",$0.00,$0.00,"$80,399.49"
2022-07-05,"$100,000.00",$0.00,$0.00,"$80,551.32"
2022-07-06,"$100,000.00",$0.00,$0.00,"$80,823.35"
2022-07-07,"$100,000.00",$0.00,$0.00,"$82,033.88"
2022-07-08,"$100,000.00",$0.00,$0.00,"$81,966.38"
2022-07-09,"$100,000.00",$0.00,$0.00,"$81,966.38"
2022-07-10,"$100,000.00",$0.00,$0.00,"$81,966.38"
2022-07-11,"$100,000.00",$0.00,$0.00,"$81,030.04"
2022-07-12,"$100,000.00",$0.00,$0.00,"$80,313.01"
2022-07-13,"$100,000.00",$0.00,$0.00,"$79,891.24"
2022-07-14,"$100,000.00",$0.00,$0.00,"$79,697.21"
2022-07-15,"$100,000.00",$0.00,$0.00,"$81,219.84"
2022-07-16,"$100,000.00",$0.00,$0.00,"$81,219.84"
2022-07-17,"$100,000.00",$0.00,$0.00,"$81,219.84"
2022-07-18,"$100,000.00",$0.00,$0.00,"$80,549.22"
2022-07-19,"$100,000.00",$0.00,$0.00,"$82,725.59"
2022-07-20,"$100,000.00",$0.00,$0.00,"$83,252.82"
2022-07-21,"$100,000.00",$0.00,$0.00,"$84,100.59"
2022-07-22,"$100,000.00",$0.00,$0.00,"$83,320.30"
2022-07-23,"$100,000.00",$0.00,$0.00,"$83,320.30"
2022-07-24,"$100,000.00",$0.00,$0.00,"$83,320.30"
2022-07-25,"$100,000.00",$0.00,$0.00,"$83,421.52"
2022-07-26,"$100,000.00",$0.00,$0.00,"$82,434.58"
2022-07-27,"$100,000.00",$0.00,$0.00,"$84,575.10"
2022-07-28,"$100,000.00",$0.00,$0.00,"$85,635.86"
2022-07-29,"$100,000.00",$0.00,$0.00,"$86,884.34"
2022-07-30,"$100,000.00",$0.00,$0.00,"$86,884.34"
2022-07-31,"$100,000.00",$0.00,$0.00,"$86,884.34"
2022-08-01,"$100,984.23",$0.00,$0.00,"$86,627.05"
2022-08-02,"$101,228.00",$243.77,$243.77,"$86,055.52"
2022-08-03,"$103,098.28","$1,870.28","$2,114.05","$87,403.11"
2022-08-04,"$105,495.96","$2,397.68","$4,511.73","$87,344.08"
2022-08-05,"$103,002.94","$-2,493.02","$2,018.71","$87,196.46"
2022-08-06,"$103,002.94",$0.00,"$2,018.71","$87,196.46"
2022-08-07,"$103,002.94",$0.00,"$2,018.71","$87,196.46"
2022-08-08,"$101,816.96",$0.00,"$2,018.71","$87,095.23"
2022-08-09,"$99,079.95","$-2,737.01",$-718.30,"$86,749.37"
2022-08-10,"$103,662.45","$4,582.50","$3,864.21","$88,571.44"
2022-08-11,"$102,331.26","$-1,331.19","$2,533.02","$88,571.44"
2022-08-12,"$105,704.20","$3,372.93","$5,905.95","$90,070.87"
2022-08-13,"$105,704.20",$0.00,"$5,905.95","$90,070.87"
2022-08-14,"$105,704.20",$0.00,"$5,905.95","$90,070.87"
2022-08-15,"$106,690.91",$0.00,"$5,905.95","$90,442.03"
2022-08-16,"$106,103.63",$-587.29,"$5,318.66","$90,619.18"
2022-08-17,"$104,916.37","$-1,187.25","$4,131.41","$89,975.97"
2022-08-18,"$105,086.99",$170.61,"$4,302.03","$90,237.47"
2022-08-19,"$102,238.04","$-2,848.95","$1,453.08","$89,024.87"
2022-08-20,"$102,238.04",$0.00,"$1,453.08","$89,024.87"
2022-08-21,"$102,238.04",$0.00,"$1,453.08","$89,024.87"
2022-08-22,"$99,226.57",$0.00,"$1,453.08","$87,171.14"
2022-08-23,"$99,226.57",$-0.00,"$1,453.08","$86,960.25"
2022-08-24,"$99,401.80",$175.23,"$1,628.30","$87,238.63"
2022-08-25,"$101,961.28","$2,559.48","$4,187.78","$88,470.22"
2022-08-26,"$97,159.79","$-4,801.49",$-613.71,"$85,475.60"
2022-08-27,"$97,159.79",$0.00,$-613.71,"$85,475.60"
2022-08-28,"$97,159.79",$0.00,$-613.71,"$85,475.60"
2022-08-29,"$97,159.79",$0.00,$-613.71,"$84,910.41"
2022-08-30,"$97,159.79",$0.00,$-613.71,"$83,978.28"
2022-08-31,"$97,159.79",$0.00,$-613.71,"$83,339.28"
2022-09-01,"$97,159.79",$0.00,$-613.71,"$83,600.79"
2022-09-02,"$97,159.79",$0.00,$-613.71,"$82,719.26"
2022-09-03,"$97,159.79",$0.00,$-613.71,"$82,719.26"
2022-09-04,"$97,159.79",$0.00,$-613.71,"$82,719.26"
2022-09-05,"$97,159.79",$0.00,$-613.71,"$82,719.26"
2022-09-06,"$97,159.79",$0.00,$-613.71,"$82,407.14"
2022-09-07,"$97,159.79",$0.00,$-613.71,"$83,887.59"
2022-09-08,"$97,159.79",$0.00,$-613.71,"$84,435.91"
2022-09-09,"$97,159.79",$0.00,$-613.71,"$85,747.63"
2022-09-10,"$97,159.79",$0.00,$-613.71,"$85,747.63"
2022-09-11,"$97,159.79",$0.00,$-613.71,"$85,747.63"
2022-09-12,"$97,159.79",$0.00,$-613.71,"$86,669.22"
2022-09-13,"$97,159.79",$0.00,$-613.71,"$82,900.62"
2022-09-14,"$97,159.79",$0.00,$-613.71,"$83,216.96"
2022-09-15,"$97,159.79",$0.00,$-613.71,"$82,272.17"
2022-09-16,"$97,159.79",$0.00,$-613.71,"$81,644.53"
2022-09-17,"$97,159.79",$0.00,$-613.71,"$81,644.53"
2022-09-18,"$97,159.79",$0.00,$-613.71,"$81,644.53"
2022-09-19,"$97,159.79",$0.00,$-613.71,"$82,277.69"
2022-09-20,"$97,159.79",$0.00,$-613.71,"$81,333.25"
2022-09-21,"$97,159.79",$0.00,$-613.71,"$79,914.50"
2022-09-22,"$97,159.79",$0.00,$-613.71,"$79,243.22"
2022-09-23,"$97,159.79",$0.00,$-613.71,"$77,915.51"
2022-09-24,"$97,159.79",$0.00,$-613.71,"$77,915.51"
2022-09-25,"$97,159.79",$0.00,$-613.71,"$77,915.51"
2022-09-26,"$97,159.79",$0.00,$-613.71,"$77,144.73"
2022-09-27,"$97,159.79",$0.00,$-613.71,"$76,947.80"
2022-09-28,"$97,159.79",$0.00,$-613.71,"$78,461.85"
2022-09-29,"$97,159.79",$0.00,$-613.71,"$76,822.86"
2022-09-30,"$97,159.79",$0.00,$-613.71,"$75,634.91"
2022-10-01,"$97,159.79",$0.00,$-613.71,"$75,634.91"
2022-10-02,"$97,159.79",$0.00,$-613.71,"$75,634.91"
2022-10-03,"$97,159.79",$0.00,$-613.71,"$77,631.77"
2022-10-04,"$97,159.79",$0.00,$-613.71,"$80,037.31"
2022-10-05,"$97,159.79",$0.00,$-613.71,"$79,850.97"
2022-10-06,"$97,159.79",$0.00,$-613.71,"$79,027.23"
2022-10-07,"$97,159.79",$0.00,$-613.71,"$76,822.86"
2022-10-08,"$97,159.79",$0.00,$-613.71,"$76,822.86"
2022-10-09,"$97,159.79",$0.00,$-613.71,"$76,822.86"
2022-10-10,"$97,159.79",$0.00,$-613.71,"$76,236.30"
2022-10-11,"$97,159.79",$0.00,$-613.71,"$75,753.49"
2022-10-12,"$97,159.79",$0.00,$-613.71,"$75,503.63"
2022-10-13,"$97,159.79",$0.00,$-613.71,"$77,496.24"
2022-10-14,"$97,159.79",$0.00,$-613.71,"$75,730.19"
2022-10-15,"$97,159.79",$0.00,$-613.71,"$75,730.19"
2022-10-16,"$97,159.79",$0.00,$-613.71,"$75,730.19"
2022-10-17,"$97,159.79",$0.00,$-613.71,"$77,676.23"
2022-10-18,"$97,159.79",$0.00,$-613.71,"$78,588.90"
2022-10-19,"$97,159.79",$0.00,$-613.71,"$78,031.98"
2022-10-20,"$97,159.79",$0.00,$-613.71,"$77,377.67"
2022-10-21,"$97,159.79",$0.00,$-613.71,"$79,258.05"
2022-10-22,"$97,159.79",$0.00,$-613.71,"$79,258.05"
2022-10-23,"$97,159.79",$0.00,$-613.71,"$79,258.05"
2022-10-24,"$97,159.79",$0.00,$-613.71,"$80,227.88"
2022-10-25,"$97,159.79",$0.00,$-613.71,"$81,509.02"
2022-10-26,"$97,159.79",$0.00,$-613.71,"$80,894.91"
2022-10-27,"$97,159.79",$0.00,$-613.71,"$80,462.95"
2022-10-28,"$97,159.79",$0.00,$-613.71,"$82,377.19"
2022-10-29,"$97,159.79",$0.00,$-613.71,"$82,377.19"
2022-10-30,"$97,159.79",$0.00,$-613.71,"$82,377.19"
2022-10-31,"$97,159.79",$0.00,$-613.71,"$81,782.18"
2022-11-01,"$97,159.79",$0.00,$-613.71,"$81,424.31"
2022-11-02,"$97,159.79",$0.00,$-613.71,"$79,380.86"
2022-11-03,"$97,159.79",$0.00,$-613.71,"$78,563.51"
2022-11-04,"$97,159.79",$0.00,$-613.71,"$79,694.26"
2022-11-05,"$97,159.79",$0.00,$-613.71,"$79,694.26"
2022-11-06,"$97,159.79",$0.00,$-613.71,"$79,694.26"
2022-11-07,"$97,159.79",$0.00,$-613.71,"$80,456.59"
2022-11-08,"$97,159.79",$0.00,$-613.71,"$80,890.68"
2022-11-09,"$97,159.79",$0.00,$-613.71,"$79,224.17"
2022-11-10,"$97,159.79",$0.00,$-613.71,"$83,577.88"
2022-11-11,"$101,310.92","$4,151.13","$3,537.42","$84,386.78"
2022-11-12,"$101,310.92",$0.00,"$3,537.42","$84,386.78"
2022-11-13,"$101,310.92",$0.00,"$3,537.42","$84,386.78"
2022-11-14,"$102,227.94",$0.00,"$3,537.42","$83,668.91"
2022-11-15,"$105,283.80","$3,055.86","$6,593.28","$84,382.54"
2022-11-16,"$101,842.79","$-3,441.01","$3,152.26","$83,738.79"
2022-11-17,"$101,019.78",$-823.01,"$2,329.26","$83,482.56"
2022-11-18,"$100,021.16",$-998.62,"$1,330.64","$83,861.62"
2022-11-19,"$100,021.16",$0.00,"$1,330.64","$83,861.62"
2022-11-20,"$100,021.16",$0.00,"$1,330.64","$83,861.62"
2022-11-21,"$99,467.87",$0.00,"$1,330.64","$83,556.68"
2022-11-22,"$103,113.08","$3,645.21","$4,975.85","$84,681.12"
2022-11-23,"$104,901.56","$1,788.48","$6,764.32","$85,214.73"
2022-11-24,"$104,901.56",$0.00,"$6,764.32","$85,214.73"
2022-11-25,"$103,553.40",$0.00,"$6,764.32","$85,195.68"
2022-11-26,"$103,553.40",$0.00,"$6,764.32","$85,195.68"
2022-11-27,"$103,553.40",$0.00,"$6,764.32","$85,195.68"
2022-11-28,"$101,394.15",$0.00,"$6,764.32","$83,836.20"
2022-11-29,"$101,031.73",$-362.42,"$6,401.91","$83,692.21"
2022-11-30,"$107,979.66","$6,947.93","$13,349.84","$86,328.57"
2022-12-01,"$108,624.96",$645.29,"$13,995.13","$86,265.04"
2022-12-02,"$107,636.82",$-988.13,"$13,007.00","$86,165.52"
2022-12-03,"$107,636.82",$0.00,"$13,007.00","$86,165.52"
2022-12-04,"$107,636.82",$0.00,"$13,007.00","$86,165.52"
2022-12-05,"$106,116.52",$0.00,"$13,007.00","$84,615.46"
2022-12-06,"$101,908.31","$-4,208.21","$8,798.79","$83,395.76"
2022-12-07,"$101,913.93",$5.62,"$8,804.41","$83,253.88"
2022-12-08,"$104,743.04","$2,829.11","$11,633.52","$83,906.09"
2022-12-09,"$105,335.31",$592.27,"$12,225.79","$83,279.28"
2022-12-10,"$105,335.31",$0.00,"$12,225.79","$83,279.28"
2022-12-11,"$105,335.31",$0.00,"$12,225.79","$83,279.28"
2022-12-12,"$103,758.10",$0.00,"$12,225.79","$84,479.94"
2022-12-13,"$103,758.10",$0.00,"$12,225.79","$85,119.44"
2022-12-14,"$102,921.36",$-836.73,"$11,389.06","$84,575.23"
2022-12-15,"$102,921.36",$0.00,"$11,389.06","$82,506.37"
2022-12-16,"$102,921.36",$0.00,"$11,389.06","$81,532.28"
2022-12-17,"$102,921.36",$0.00,"$11,389.06","$81,532.28"
2022-12-18,"$102,921.36",$0.00,"$11,389.06","$81,532.28"
2022-12-19,"$102,921.36",$0.00,"$11,389.06","$80,840.93"
2022-12-20,"$102,921.36",$0.00,"$11,389.06","$80,951.55"
2022-12-21,"$102,921.36",$0.00,"$11,389.06","$82,161.98"
2022-12-22,"$102,921.36",$0.00,"$11,389.06","$80,989.85"
2022-12-23,"$102,921.36",$0.00,"$11,389.06","$81,455.71"
2022-12-24,"$102,921.36",$0.00,"$11,389.06","$81,455.71"
2022-12-25,"$102,921.36",$0.00,"$11,389.06","$81,455.71"
2022-12-26,"$102,921.36",$0.00,"$11,389.06","$81,455.71"
2022-12-27,"$102,921.36",$0.00,"$11,389.06","$81,134.49"
2022-12-28,"$102,921.36",$0.00,"$11,389.06","$80,126.17"
2022-12-29,"$102,921.36",$0.00,"$11,389.06","$81,568.47"
2022-12-30,"$102,921.36",$0.00,"$11,389.06","$81,353.60"
2022-12-31,"$102,921.36",$0.00,"$11,389.06","$81,353.60"
2023-01-01,"$102,921.36",$0.00,"$11,389.06","$81,353.60"
2023-01-02,"$102,921.36",$0.00,"$11,389.06","$81,353.60"
2023-01-03,"$102,921.36",$0.00,"$11,389.06","$81,011.12"
2023-01-04,"$102,921.36",$0.00,"$11,389.06","$81,636.53"
2023-01-05,"$102,921.36",$0.00,"$11,389.06","$80,704.78"
2023-01-06,"$102,921.36",$0.00,"$11,389.06","$82,555.51"
2023-01-07,"$102,921.36",$0.00,"$11,389.06","$82,555.51"
2023-01-08,"$102,921.36",$0.00,"$11,389.06","$82,555.51"
2023-01-09,"$101,696.63",$0.00,"$11,389.06","$82,508.72"
2023-01-10,"$104,447.68","$2,751.05","$14,140.11","$83,087.34"
2023-01-11,"$104,369.15",$-78.54,"$14,061.57","$84,138.20"
2023-01-12,"$107,369.16","$3,000.01","$17,061.58","$84,444.54"
2023-01-13,"$107,581.19",$212.03,"$17,273.62","$84,772.15"
2023-01-14,"$107,581.19",$0.00,"$17,273.62","$84,772.15"
2023-01-15,"$107,581.19",$0.00,"$17,273.62","$84,772.15"
2023-01-16,"$107,581.19",$0.00,"$17,273.62","$84,772.15"
2023-01-17,"$106,308.94",$0.00,"$17,273.62","$84,616.86"
2023-01-18,"$105,390.05",$-918.89,"$16,354.72","$83,280.92"
2023-01-19,"$104,928.71",$-461.33,"$15,893.39","$82,674.66"
2023-01-20,"$108,148.86","$3,220.14","$19,113.54","$84,214.80"
2023-01-21,"$108,148.86",$0.00,"$19,113.54","$84,214.80"
2023-01-22,"$108,148.86",$0.00,"$19,113.54","$84,214.80"
2023-01-23,"$109,765.79",$0.00,"$19,113.54","$85,225.27"
2023-01-24,"$109,441.13",$-324.67,"$18,788.87","$85,133.78"
2023-01-25,"$109,758.81",$317.68,"$19,106.55","$85,165.71"
2023-01-26,"$113,498.62","$3,739.81","$22,846.36","$86,101.71"
2023-01-27,"$117,761.19","$4,262.58","$27,108.93","$86,299.54"
2023-01-28,"$117,761.19",$0.00,"$27,108.93","$86,299.54"
2023-01-29,"$117,761.19",$0.00,"$27,108.93","$86,299.54"
2023-01-30,"$113,278.30",$0.00,"$27,108.93","$85,216.75"
2023-01-31,"$115,504.36","$2,226.06","$29,334.99","$86,469.72"
2023-02-01,"$119,885.74","$4,381.38","$33,716.37","$87,388.69"
2023-02-02,"$128,616.03","$8,730.29","$42,446.66","$88,660.82"
2023-02-03,"$125,029.00","$-3,587.03","$38,859.63","$87,718.43"
2023-02-04,"$125,029.00",$0.00,"$38,859.63","$87,718.43"
2023-02-05,"$125,029.00",$0.00,"$38,859.63","$87,718.43"
